supplier_name,categories_supplied,active_products,total_products,avg_turnover_rate,low_stock_count,total_sales_volume,supply_reliability_score,supplier_cluster_id,supplier_tier,gold_processed_at
Katz,6,2,11,63.09,4,703,77.68,0,Top Supplier,2026-05-16 06:12:46
Babblestorm,4,3,7,62.14,1,403,66.41,0,Top Supplier,2026-05-16 06:12:46
Trupe,1,1,2,89.5,0,179,66.02,1,At-Risk Supplier,2026-05-16 06:12:46
Mybuzz,3,2,5,68.8,0,267,64.78,0,Top Supplier,2026-05-16 06:12:46
Gigashots,4,2,6,65.67,2,427,63.2,0,Top Supplier,2026-05-16 06:12:46
Brainbox,1,1,1,96.0,0,64,61.28,1,At-Risk Supplier,2026-05-16 06:12:46
Aibox,3,1,3,71.33,0,194,61.28,1,At-Risk Supplier,2026-05-16 06:12:46
Quatz,5,4,8,60.88,4,489,60.35,0,Top Supplier,2026-05-16 06:12:46
Fatz,1,0,1,88.0,0,81,59.81,1,At-Risk Supplier,2026-05-16 06:12:46
Kazio,1,1,1,94.0,0,48,59.73,1,At-Risk Supplier,2026-05-16 06:12:46
Topicware,2,2,2,69.0,0,173,59.33,1,At-Risk Supplier,2026-05-16 06:12:46
Twitterwire,3,2,7,40.57,1,393,59.15,0,Top Supplier,2026-05-16 06:12:46
Cogidoo,1,1,1,89.0,0,62,59.0,1,At-Risk Supplier,2026-05-16 06:12:46
Twitterbridge,2,0,2,70.0,0,156,58.64,1,At-Risk Supplier,2026-05-16 06:12:46
Divape,1,0,1,81.0,0,94,58.41,1,At-Risk Supplier,2026-05-16 06:12:46
Einti,2,0,3,64.0,0,183,58.37,1,At-Risk Supplier,2026-05-16 06:12:46
Jamia,1,0,1,83.0,0,72,57.73,1,At-Risk Supplier,2026-05-16 06:12:46
Midel,3,2,3,55.0,0,217,57.58,1,At-Risk Supplier,2026-05-16 06:12:46
Photobug,5,2,7,48.57,3,468,57.45,0,Top Supplier,2026-05-16 06:12:46
Yadel,2,1,2,72.5,0,116,57.07,1,At-Risk Supplier,2026-05-16 06:12:46
Skimia,3,1,6,45.83,2,427,57.06,0,Top Supplier,2026-05-16 06:12:46
Dynava,2,0,2,68.5,0,118,55.95,1,At-Risk Supplier,2026-05-16 06:12:46
Fadeo,1,1,1,80.0,0,53,55.69,1,At-Risk Supplier,2026-05-16 06:12:46
Skippad,2,1,2,65.0,0,130,55.57,1,At-Risk Supplier,2026-05-16 06:12:46
Janyx,2,1,3,57.0,0,172,55.56,1,At-Risk Supplier,2026-05-16 06:12:46
Innojam,2,1,3,62.67,0,132,54.96,1,At-Risk Supplier,2026-05-16 06:12:46
Trunyx,2,3,3,56.0,0,166,54.9,1,At-Risk Supplier,2026-05-16 06:12:46
Chatterbridge,3,1,3,55.67,0,166,54.79,1,At-Risk Supplier,2026-05-16 06:12:46
Flashset,2,1,2,69.5,0,91,54.67,1,At-Risk Supplier,2026-05-16 06:12:46
Thoughtmix,2,1,2,57.0,0,156,54.62,1,At-Risk Supplier,2026-05-16 06:12:46
Realpoint,2,0,2,57.5,0,149,54.36,1,At-Risk Supplier,2026-05-16 06:12:46
Youbridge,3,2,5,67.6,2,298,54.23,0,Top Supplier,2026-05-16 06:12:46
Flashdog,1,0,1,74.0,0,57,54.07,1,At-Risk Supplier,2026-05-16 06:12:46
Meevee,4,1,10,41.7,6,534,54.06,0,Top Supplier,2026-05-16 06:12:46
Gigabox,2,0,3,73.33,1,229,53.95,1,At-Risk Supplier,2026-05-16 06:12:46
Yozio,2,1,2,63.0,0,111,53.84,1,At-Risk Supplier,2026-05-16 06:12:46
Voonix,1,0,1,78.0,0,30,53.72,1,At-Risk Supplier,2026-05-16 06:12:46
Devshare,4,1,6,61.33,3,366,53.27,0,Top Supplier,2026-05-16 06:12:46
Abata,2,1,2,56.5,0,135,53.23,1,At-Risk Supplier,2026-05-16 06:12:46
Realmix,2,0,2,51.5,0,158,53.04,1,At-Risk Supplier,2026-05-16 06:12:46
Eimbee,4,0,7,48.14,4,466,52.92,0,Top Supplier,2026-05-16 06:12:46
Oozz,2,1,2,53.0,0,148,52.91,1,At-Risk Supplier,2026-05-16 06:12:46
Gabcube,1,1,1,63.0,0,95,52.9,1,At-Risk Supplier,2026-05-16 06:12:46
Tambee,1,1,1,63.0,0,95,52.9,1,At-Risk Supplier,2026-05-16 06:12:46
Centidel,1,0,1,69.0,0,62,52.82,1,At-Risk Supplier,2026-05-16 06:12:46
Edgewire,1,1,3,51.67,0,153,52.79,1,At-Risk Supplier,2026-05-16 06:12:46
Meezzy,1,1,1,63.0,0,85,52.31,1,At-Risk Supplier,2026-05-16 06:12:46
Trilia,2,2,3,83.0,1,149,52.25,1,At-Risk Supplier,2026-05-16 06:12:46
Jaxbean,1,0,1,62.0,0,86,52.06,1,At-Risk Supplier,2026-05-16 06:12:46
Skinte,2,0,2,56.5,0,113,51.94,1,At-Risk Supplier,2026-05-16 06:12:46
Meejo,2,0,2,60.5,0,91,51.89,1,At-Risk Supplier,2026-05-16 06:12:46
Oyondu,3,1,4,56.75,1,237,51.79,0,Top Supplier,2026-05-16 06:12:46
Blogspan,2,1,2,57.0,0,100,51.33,1,At-Risk Supplier,2026-05-16 06:12:46
Rooxo,1,1,2,59.0,0,86,51.13,1,At-Risk Supplier,2026-05-16 06:12:46
Skipstorm,1,1,1,60.0,0,78,50.97,1,At-Risk Supplier,2026-05-16 06:12:46
Yamia,2,1,3,64.67,1,223,50.92,1,At-Risk Supplier,2026-05-16 06:12:46
Skipfire,4,1,6,53.0,3,364,50.58,0,Top Supplier,2026-05-16 06:12:46
Fiveclub,3,1,3,36.33,0,186,49.99,1,At-Risk Supplier,2026-05-16 06:12:46
Babbleblab,1,0,1,56.0,0,82,49.97,1,At-Risk Supplier,2026-05-16 06:12:46
Kwideo,3,1,3,57.33,1,245,49.94,0,Top Supplier,2026-05-16 06:12:46
Zooveo,1,0,1,62.0,0,47,49.77,1,At-Risk Supplier,2026-05-16 06:12:46
